start_time,end_time,goes_class
2013-10-26 09:17:00,2013-10-26 09:48:00,M1.5
2013-10-26 10:48:00,2013-10-26 11:34:00,M1.8
2013-10-26 19:24:00,2013-10-26 19:30:00,M3.1
2013-10-26 19:49:00,2013-10-26 19:58:00,M1.0
2013-10-28 04:32:00,2013-10-28 04:46:00,M5.1
2013-10-28 11:32:00,2013-10-28 12:39:00,M1.4
2013-10-28 14:00:00,2013-10-28 14:12:00,M2.8
2013-10-28 14:46:00,2013-10-28 15:04:00,M2.7
2013-10-28 15:07:00,2013-10-28 15:21:00,M4.4
2013-10-28 20:48:00,2013-10-28 21:02:00,M1.5
2013-10-31 13:36:00,2013-10-31 14:02:00,M1.9
2013-11-01 19:46:00,2013-11-01 19:58:00,M6.3
2013-11-02 22:13:00,2013-11-02 22:25:00,M1.6
2013-11-03 05:16:00,2013-11-03 05:26:00,M5.0
2013-11-05 08:12:00,2013-11-05 08:21:00,M2.5
2013-11-05 18:08:00,2013-11-05 18:17:00,M1.0
2013-11-06 13:39:00,2013-11-06 13:53:00,M3.8
2013-11-07 03:34:00,2013-11-07 03:43:00,M2.3
2013-11-07 14:15:00,2013-11-07 14:31:00,M2.4
2013-11-08 09:22:00,2013-11-08 09:31:00,M2.3
2013-11-11 11:01:00,2013-11-11 11:30:00,M2.4
2013-11-13 14:57:00,2013-11-13 15:41:00,M1.4
2013-11-15 02:20:00,2013-11-15 02:33:00,M1.0
2013-11-16 04:47:00,2013-11-16 04:57:00,M1.2
2013-11-16 07:45:00,2013-11-16 07:53:00,M1.6
2013-11-17 05:06:00,2013-11-17 05:13:00,M1.0
2013-11-21 10:52:00,2013-11-21 11:42:00,M1.2
2013-11-23 02:20:00,2013-11-23 02:49:00,M1.1
2013-11-23 12:49:00,2013-11-23 13:05:00,M1.0
2013-12-07 07:17:00,2013-12-07 07:49:00,M1.2
2013-12-19 23:06:00,2013-12-19 23:26:00,M3.5
2013-12-20 11:35:00,2013-12-20 12:07:00,M1.6
2013-12-22 08:05:00,2013-12-22 08:18:00,M1.9
2013-12-22 08:33:00,2013-12-22 08:41:00,M1.1
2013-12-22 14:24:00,2013-12-22 14:48:00,M1.6
2013-12-22 15:06:00,2013-12-22 15:19:00,M3.3
2013-12-22 21:23:00,2013-12-22 22:13:00,M1.6
2013-12-22 23:44:00,2013-12-23 00:05:00,M1.3
2013-12-23 08:59:00,2013-12-23 09:09:00,M1.6
2013-12-29 07:49:00,2013-12-29 08:00:00,M3.1
2013-12-31 21:45:00,2013-12-31 22:20:00,M6.4
2014-01-01 18:40:00,2014-01-01 19:03:00,M9.9
2014-01-02 02:24:00,2014-01-02 02:56:00,M1.7
2014-01-02 22:12:00,2014-01-02 22:22:00,M1.2
2014-01-03 12:41:00,2014-01-03 12:54:00,M1.0
2014-01-03 21:09:00,2014-01-03 21:19:00,M1.1
2014-01-04 10:16:00,2014-01-04 10:41:00,M1.3
2014-01-04 22:12:00,2014-01-04 23:22:00,M1.9
2014-01-07 03:49:00,2014-01-07 03:56:00,M1.0
2014-01-07 10:07:00,2014-01-07 10:37:00,M7.2
2014-01-08 03:39:00,2014-01-08 03:54:00,M3.6
2014-01-27 22:05:00,2014-01-27 22:15:00,M4.9
2014-01-28 04:02:00,2014-01-28 04:13:00,M1.5
2014-01-28 07:25:00,2014-01-28 07:34:00,M3.6
2014-01-28 11:34:00,2014-01-28 11:41:00,M1.4
2014-01-28 12:33:00,2014-01-28 12:50:00,M1.3
2014-01-28 19:00:00,2014-01-28 19:46:00,M4.9
2014-01-28 22:04:00,2014-01-28 22:20:00,M2.6
2014-01-30 06:33:00,2014-01-30 06:44:00,M2.1
2014-01-30 07:54:00,2014-01-30 08:41:00,M1.1
2014-01-30 15:48:00,2014-01-30 16:28:00,M6.6
2014-01-31 15:32:00,2014-01-31 15:53:00,M1.1
2014-02-01 01:19:00,2014-02-01 01:38:00,M1.0
2014-02-01 07:14:00,2014-02-01 07:36:00,M3.0
2014-02-02 06:24:00,2014-02-02 06:37:00,M2.6
2014-02-02 07:17:00,2014-02-02 08:29:00,M2.2
2014-02-02 09:24:00,2014-02-02 09:36:00,M4.4
2014-02-02 18:05:00,2014-02-02 18:18:00,M3.1
2014-02-02 21:24:00,2014-02-02 22:14:00,M1.3
2014-02-04 03:57:00,2014-02-04 04:06:00,M5.2
2014-02-04 09:38:00,2014-02-04 09:58:00,M1.4
2014-02-04 15:25:00,2014-02-04 16:49:00,M1.5
2014-02-05 16:11:00,2014-02-05 16:42:00,M1.3
2014-02-06 22:56:00,2014-02-06 23:10:00,M1.5
2014-02-07 04:47:00,2014-02-07 05:04:00,M2.0
2014-02-07 10:25:00,2014-02-07 10:31:00,M1.9
2014-02-11 03:22:00,2014-02-11 03:39:00,M1.7
2014-02-11 16:34:00,2014-02-11 17:10:00,M1.8
2014-02-12 03:52:00,2014-02-12 04:38:00,M3.7
2014-02-12 06:54:00,2014-02-12 07:04:00,M2.3
2014-02-12 15:41:00,2014-02-12 16:15:00,M2.1
2014-02-13 02:41:00,2014-02-13 03:04:00,M1.0
2014-02-13 05:49:00,2014-02-13 06:13:00,M1.7
2014-02-13 08:05:00,2014-02-13 08:19:00,M1.0
2014-02-14 02:40:00,2014-02-14 03:10:00,M2.3
2014-02-14 12:29:00,2014-02-14 12:45:00,M1.6
2014-02-14 13:21:00,2014-02-14 13:39:00,M1.1
2014-02-14 16:33:00,2014-02-14 16:42:00,M1.0
2014-02-16 09:20:00,2014-02-16 09:29:00,M1.1
2014-02-20 07:26:00,2014-02-20 08:25:00,M3.0
2014-02-24 11:03:00,2014-02-24 11:42:00,M1.2
